DesignName,ParticipantID,TrialID,Block1,VV,OC,visualSearchTime,ErrorCount
Preattention-Experiment,4,163,1,Size,Medium,3634,0
Preattention-Experiment,4,164,1,Size,Large,4831,0
Preattention-Experiment,4,165,1,Size,Large,4297,0
Preattention-Experiment,4,166,1,Size,Small,2978,0
Preattention-Experiment,4,167,1,Size,Medium,4079,0
Preattention-Experiment,4,168,1,Size,Medium,3769,0
Preattention-Experiment,4,169,1,Size,Small,2485,0
Preattention-Experiment,4,170,1,Size,Large,1830,0
Preattention-Experiment,4,171,1,Size,Large,1417,0
Preattention-Experiment,4,172,1,Size,Large,1597,0
Preattention-Experiment,4,173,1,Size,Medium,659,0
Preattention-Experiment,4,174,1,Size,Small,833,0
Preattention-Experiment,4,175,1,Size,Small,766,0
Preattention-Experiment,4,176,1,Size,Medium,961,0
Preattention-Experiment,4,177,1,Size,Large,708,0
Preattention-Experiment,4,178,1,Size,Medium,1032,0
Preattention-Experiment,4,179,1,Size,Small,1041,0
Preattention-Experiment,4,180,1,Size,Small,638,0
Preattention-Experiment,4,181,2,Orientation,Medium,1144,0
Preattention-Experiment,4,182,2,Orientation,Large,648,0
Preattention-Experiment,4,183,2,Orientation,Large,1993,0
Preattention-Experiment,4,184,2,Orientation,Small,755,0
Preattention-Experiment,4,185,2,Orientation,Medium,853,0
Preattention-Experiment,4,186,2,Orientation,Medium,695,0
Preattention-Experiment,4,187,2,Orientation,Small,1097,0
Preattention-Experiment,4,188,2,Orientation,Large,1170,0
Preattention-Experiment,4,189,2,Orientation,Large,760,0
Preattention-Experiment,4,190,2,Orientation,Large,1403,0
Preattention-Experiment,4,191,2,Orientation,Medium,1739,0
Preattention-Experiment,4,192,2,Orientation,Small,909,0
Preattention-Experiment,4,193,2,Orientation,Small,530,0
Preattention-Experiment,4,194,2,Orientation,Medium,727,0
Preattention-Experiment,4,195,2,Orientation,Large,892,0
Preattention-Experiment,4,196,2,Orientation,Medium,2482,0
Preattention-Experiment,4,197,2,Orientation,Small,994,0
Preattention-Experiment,4,198,2,Orientation,Small,702,0
Preattention-Experiment,4,199,3,OrientationSize,Medium,13216,1
Preattention-Experiment,4,200,3,OrientationSize,Large,8976,0
Preattention-Experiment,4,201,3,OrientationSize,Large,5645,0
Preattention-Experiment,4,202,3,OrientationSize,Small,4737,0
Preattention-Experiment,4,203,3,OrientationSize,Medium,7365,0
Preattention-Experiment,4,204,3,OrientationSize,Medium,7351,0
Preattention-Experiment,4,205,3,OrientationSize,Small,5710,0
Preattention-Experiment,4,206,3,OrientationSize,Large,34920,0
Preattention-Experiment,4,207,3,OrientationSize,Large,4234,0
Preattention-Experiment,4,208,3,OrientationSize,Large,6455,0
Preattention-Experiment,4,209,3,OrientationSize,Medium,3562,0
Preattention-Experiment,4,210,3,OrientationSize,Small,3266,0
Preattention-Experiment,4,211,3,OrientationSize,Small,3275,0
Preattention-Experiment,4,212,3,OrientationSize,Medium,12371,0
Preattention-Experiment,4,213,3,OrientationSize,Large,7890,0
Preattention-Experiment,4,214,3,OrientationSize,Medium,3115,1
Preattention-Experiment,4,215,3,OrientationSize,Small,2171,0
Preattention-Experiment,4,216,3,OrientationSize,Small,1416,0
